Word,Conc.M,Conc.SD
刻板,2.777778,0.9337
客气,3.0,1.16619
苦力,3.407407,1.118352
亏待,2.615385,1.09825
缆车,4.407407,0.930643
黎民,3.375,1.172604
历法,3.185185,1.177907
立法,3.333333,1.074172
痢疾,3.666667,0.960769
林木,4.259259,0.859006
琉璃,4.153846,1.189699
名流,2.444444,1.050031
凝固,3.444444,0.891556
奴婢,3.814815,1.075498
女巫,4.038462,0.958364
盘算,2.884615,1.107318
滂沱,2.32,1.10755
嫖客,4.222222,0.751068
票数,3.814815,1.272098
平衡,3.111111,1.187542
剖开,3.423077,0.945434
乞食,3.615385,0.803837
前进,3.62963,1.114525
腔调,3.0,1.0
强盗,4.307692,1.010712
亲近,2.888889,1.086042
禽兽,3.307692,1.086986
清点,2.925926,0.873804
蚯蚓,4.666667,0.83205
扰乱,2.777778,1.086042
设法,2.62963,1.213645
摄政,2.769231,1.242826
声誉,2.666667,1.414214
湿地,4.0,0.748331
誓约,2.777778,1.012739
手表,4.740741,0.813
私立,3.24,0.969536
岁数,4.037037,1.055443
贪心,2.888889,1.281025
探究,2.296296,1.030863
恬静,2.592593,0.971092
填鸭,2.25,0.989071
外向,2.384615,1.235376
王储,3.692308,1.010712
问题,2.884615,1.210848
喜乐,3.333333,1.143544
细小,3.222222,1.012739
相识,2.62963,1.30526
硝酸,4.37037,0.83887
斜视,3.518519,1.155934
星际,2.807692,1.16685
幸好,2.730769,1.115623
雪莱,3.095238,1.261141
巡警,4.333333,0.733799
药丸,4.407407,0.693889
野人,3.925926,0.957799
宜人,2.296296,0.868899
译名,2.769231,1.242826
银幕,3.740741,0.984206
银牌,4.37037,0.791695
鹦鹉,4.777778,0.57735
幽会,2.925926,0.916764
淤血,3.481481,1.051386
欲望,2.296296,1.324759
约数,2.52,1.357694
阅兵,4.111111,0.9337
栈道,3.814815,1.272098
掌权,2.666667,1.074172
丈夫,4.538462,0.706018
振荡,2.925926,1.035
整数,3.62963,1.275453
脂肪,4.076923,1.262476
直播,4.148148,0.863967
钟表,4.740741,0.446576
重力,2.814815,1.35978
注目,2.518519,0.848998
状态,2.037037,1.055443
捉摸,2.148148,1.292097
走廊,4.111111,0.891556
走私,3.115385,0.993053
把关,2.37037,0.83887
保值,2.25,0.989071
表现,2.481481,1.087353
蹩脚,2.75,1.032094
插嘴,3.0,0.960769
柴火,4.0740739999999995,0.916764
沉迷,2.592593,0.971092
称霸,2.555556,1.012739
成绩,3.444444,1.012739
冲突,2.925926,1.14105
虫卵,4.111111,0.974022
存款,4.222222,0.800641
大意,2.555556,0.751068
单据,3.555556,1.012739
淡忘,2.481481,1.014145
弹药,3.888889,1.154701
抵赖,2.518519,1.155934
地图,4.4814810000000005,0.70002
点数,2.96,1.098484
胴体,3.12,1.480991
恶霸,3.62963,1.114525
法官,4.346154,0.689481
仿效,2.518519,1.051386
绯红,2.703704,1.102962
肥胖,3.851852,1.026709
沸腾,3.148148,0.948833
风情,2.222222,1.154701
福音,2.384615,1.134087
府第,3.32,1.144552
复仇,2.962963,1.159625
刚强,2.666667,1.037749
供奉,2.592593,1.047314
鼓手,4.148148,0.948833
灌注,2.615385,0.941357
诡辩,2.192308,0.980581
还原,2.28,0.890693
毫米,3.666667,1.176697
壕沟,3.346154,1.324909
好处,2.555556,1.086042
好动,2.851852,1.09908
号角,3.407407,1.30853
荷花,4.576923,0.808608
横行,2.36,0.994987
红包,4.148148,1.026709
麾下,2.576923,1.137474
激动,2.814815,1.144789
肩头,4.0,0.960769
缴税,3.703704,1.030863
节奏,2.740741,1.227649
今晚,4.384615,0.752432
紧凑,2.814815,1.075498
紧张,2.888889,1.2195
进贡,3.148148,1.09908
惊奇,3.0,1.270978
就业,3.555556,1.086042
距离,3.518519,1.155934
靠山,2.925926,0.957799
可恨,2.703704,0.992852
空姐,4.423077,0.702742
两性,2.888889,1.2195
潦草,2.692308,1.010712
临时,2.296296,0.823446
买家,3.407407,1.083416
毛孔,4.0740739999999995,0.873804
没法,1.961538,0.99923
面临,2.407407,1.152231
面谈,3.296296,1.030863
苗圃,3.615385,1.09825
木瓜,4.444444,0.800641
忸怩,2.458333,0.977093
品尝,3.037037,1.159625
屏弃,2.28,0.979796
奇艺,2.48,0.770281
权衡,2.407407,1.083416
拳击,3.962963,1.01835
容器,4.0,0.960769
容颜,3.148148,1.26198
软禁,2.962963,0.979854
赛跑,4.153846,0.92487
三国,3.5,1.067708
食指,4.4814810000000005,0.848998
仕途,2.888889,1.120897
手巾,4.111111,1.050031
手巧,2.518519,0.935224
手足,3.346154,1.129329
栓塞,2.958333,0.954585
松树,4.4814810000000005,1.014145
特色,2.62963,1.213645
添置,2.884615,1.070586
铁匠,4.37037,0.966681
外族,3.148148,1.133534
吸毒,4.259259,0.902671
下场,2.555556,1.012739
下沉,2.814815,1.110684
逍遥,2.038462,1.076319
效能,2.423077,1.172112
循环,2.666667,1.176697
雅号,2.5,0.948683
岩浆,3.846154,1.120439
眼罩,4.307692,0.928191
演出,3.740741,0.859006
引用,2.444444,1.154701
隐藏,3.0,1.2
有用,2.407407,1.047314
迂回,2.48,1.122497
渊博,2.615385,1.09825
圆满,2.444444,0.974022
远古,2.814815,1.301982
月饼,4.555556,0.847319
运用,2.666667,0.919866
杂务,2.925926,0.780824
占领,2.814815,1.001423
阵营,3.148148,0.988538
震撼,2.222222,1.086042
植物,4.0,0.877058
中等,2.851852,0.988538
中外,2.555556,1.086042
